tileSetPath:pics/tileset.png
tileSetPath2:pics/tileset2a.png
tileSetTileSize:[16, 16]
cellSize:[64, 64]
overlap:[0, 0]
extent:[39, 26]
--
. . 57 58 . . 51 52 59 60 59 60 51 52 51 52 59 60 57 58 57 58 57 58 49 50 57 58 57 58 49 50 49 50 57 58 . 57 58
. 51 52 . . . 59 60 49 50 51 52 59 60 59 60 . . 51 52 49 50 . . 57 58 . . . . 57 58 57 58 . 49 50 49 50
52 59 60 32 32 32 32 32 57 58 59 60 . . . . . . 59 60 57 58 . . . . . . . . . . . . . 57 58 57 58
60 51 52 0 1 1 1 1 1 1 1 1 1 1 1 1 1 2 49 50 . . . . . . . . . . . . . . . . . . 49
. 59 60 8 9 9 9 9 9 9 9 9 9 9 39 39 39 10 57 58 . . . . . . . . . . . . . . . . . . 57
51 52 . 8 9 39 39 39 9 9 28 17 17 27 9 39 39 10 . . . . . . . . . . . . . . . . . . . . 49
59 60 . 8 9 39 39 39 9 9 10 . 13 11 27 9 39 20 1 1 1 2 . . . . . . . . . . . . . . . . 57
50 . . 8 9 39 39 39 9 9 10 . . 13 11 27 9 9 39 39 39 10 . . . . . . . . . . . . . . . 49 50
58 51 52 8 9 9 9 9 9 28 12 . . . 13 11 17 17 17 17 17 18 . . . . . . . . . . . . . . . 57 58
52 59 60 8 9 9 9 9 28 12 14 . . . . . . . . . . . . . . . 49 50 . . . . . . . . . 49 50
60 51 52 24 25 25 25 25 26 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 57 58 . . . . . . . . . 57 58
. 59 60 8 9 9 9 9 10 . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 51
35 36 . 8 9 9 9 9 10 . . . . . . . 5 3 1 1 1 1 1 1 1 2 . . . . . . . . . . . . 59
43 44 . 8 37 9 9 38 10 . 49 50 49 50 . 5 3 19 9 39 9 39 9 39 9 10 . . . . . . . . . . . 49 50
